Date,Fajr,Sunrise,Zohr,Maghrib
01/01/2025,05:45,07:56,12:05,16:15
02/01/2025,05:45,07:56,12:06,16:16
03/01/2025,05:45,07:56,12:06,16:17
04/01/2025,05:44,07:55,12:07,16:18
05/01/2025,05:44,07:55,12:07,16:19
